date,PSF
2017-01-16,68317.14285714286
2017-01-16,70116.71428571429
2017-01-16,74585.42857142857
2017-01-16,80676.0
2017-01-16,83661.28571428571
2017-01-16,84172.42857142857
2017-01-16,84641.57142857143
2017-01-16,84626.42857142857
2017-01-16,84074.85714285714
2017-01-16,83379.0
2017-01-16,82810.28571428571
2017-01-16,81970.14285714286
2017-01-16,81781.42857142857
2017-01-16,83606.42857142857
2017-01-16,86824.85714285714
2017-01-16,87698.42857142857
2017-01-16,86561.42857142857
2017-01-16,84299.85714285714
2017-01-16,80861.85714285714
2017-01-16,76265.57142857143
2017-01-17,72966.125
2017-01-17,70505.375
2017-01-17,69120.625
2017-01-17,68405.25
2017-01-17,68692.125
2017-01-17,70480.375
2017-01-17,75259.625
2017-01-17,82110.0
2017-01-17,84823.5
2017-01-17,84433.25
2017-01-17,84094.625
2017-01-17,83649.875
2017-01-17,82749.125
2017-01-17,82066.375
2017-01-17,81564.625
2017-01-17,80824.125
2017-01-17,80623.5
2017-01-17,82565.0
2017-01-17,85966.375
2017-01-17,87100.25
2017-01-17,86101.75
2017-01-17,84087.375
2017-01-17,80717.25
2017-01-17,76224.0
2017-01-18,72958.33333333333
2017-01-18,70769.0
2017-01-18,69444.33333333333
2017-01-18,69004.33333333333
2017-01-18,69206.0
2017-01-18,70875.33333333333
2017-01-18,76159.33333333333
2017-01-18,83251.33333333333
2017-01-18,85391.66666666667
2017-01-18,84426.66666666667
2017-01-18,83657.0
2017-01-18,82793.0
2017-01-18,81758.0
2017-01-18,81025.0
2017-01-18,80488.33333333333
2017-01-18,79744.0
2017-01-18,79462.0
2017-01-18,81124.66666666667
2017-01-18,84742.33333333333
2017-01-18,86633.66666666667
2017-01-18,85932.33333333333
2017-01-18,84198.66666666667
2017-01-18,80884.66666666667
2017-01-18,76445.66666666667
2017-01-19,73450.25
2017-01-19,71604.0
2017-01-19,70469.75
2017-01-19,69736.0
2017-01-19,69821.75
2017-01-19,71474.0
2017-01-19,76724.25
2017-01-19,83507.0
2017-01-19,85723.5
