,id,cluster_label
401,2007-02-09,4
402,2007-02-10,2
403,2007-02-11,5
404,2007-02-12,4
405,2007-02-13,4
406,2007-02-14,4
407,2007-02-15,4
408,2007-02-16,5
409,2007-02-17,5
410,2007-02-18,5
411,2007-02-19,5
412,2007-02-20,5
413,2007-02-21,5
414,2007-02-22,4
415,2007-02-23,5
416,2007-02-24,4
417,2007-02-25,2
418,2007-02-26,4
419,2007-02-27,5
420,2007-02-28,4
421,2007-03-01,4
422,2007-03-02,4
423,2007-03-03,5
424,2007-03-04,2
425,2007-03-05,5
426,2007-03-06,4
427,2007-03-07,5
428,2007-03-08,5
429,2007-03-09,4
430,2007-03-10,4
431,2007-03-11,2
432,2007-03-12,5
433,2007-03-13,4
434,2007-03-14,4
435,2007-03-15,4
436,2007-03-16,2
437,2007-03-17,4
438,2007-03-18,5
439,2007-03-19,5
440,2007-03-20,5
441,2007-03-21,5
442,2007-03-22,5
443,2007-03-23,5
444,2007-03-24,4
445,2007-03-25,5
446,2007-03-26,4
447,2007-03-27,4
448,2007-03-28,4
449,2007-03-29,5
450,2007-03-30,4
451,2007-03-31,4
452,2007-04-01,3
453,2007-04-02,4
454,2007-04-03,4
455,2007-04-04,4
456,2007-04-05,5
457,2007-04-06,0
458,2007-04-07,5
459,2007-04-08,0
460,2007-04-09,3
461,2007-04-10,4
462,2007-04-11,5
463,2007-04-12,4
464,2007-04-13,4
465,2007-04-14,4
466,2007-04-15,5
467,2007-04-16,4
468,2007-04-17,4
469,2007-04-18,4
470,2007-04-19,4
471,2007-04-20,4
472,2007-04-21,5
473,2007-04-22,5
474,2007-04-23,5
475,2007-04-24,0
476,2007-04-25,0
477,2007-04-26,3
478,2007-04-27,3
479,2007-04-28,4
480,2007-04-29,0
481,2007-04-30,0
482,2007-05-01,3
483,2007-05-02,3
484,2007-05-03,5
485,2007-05-04,4
486,2007-05-05,0
487,2007-05-06,3
488,2007-05-07,4
489,2007-05-08,2
490,2007-05-09,1
491,2007-05-10,3
492,2007-05-11,3
493,2007-05-12,3
494,2007-05-13,0
495,2007-05-14,3
496,2007-05-15,3
497,2007-05-16,3
498,2007-05-17,1
499,2007-05-18,5
500,2007-05-19,0
501,2007-05-20,0
502,2007-05-21,0
503,2007-05-22,0
504,2007-05-23,3
505,2007-05-24,0
506,2007-05-25,3
507,2007-05-26,3
508,2007-05-27,3
509,2007-05-28,3
510,2007-05-29,1
511,2007-05-30,3
512,2007-05-31,3
513,2007-06-01,3
514,2007-06-02,3
515,2007-06-03,0
516,2007-06-04,3
517,2007-06-05,3
518,2007-06-06,3
519,2007-06-07,2
520,2007-06-08,4
