date,load1,load2,load3,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13,load14,load15,load16,load17,load18,load19,load20,load21,load22,load23,load24,load25,load26,load27,load28,load29,load30,load31,load32,load33,load34,load35,load36,load37,load38,load39,load40,load41,load42,load43,load44,load45,load46,load47,load48
2006-01-24,8415.95167,8118.67167,7862.21167,7512.62667,7160.44333,7010.56667,6866.04,6839.21667,6943.49333,7153.90167,7396.60167,7903.75167,8383.07333,8830.325,9260.72667,9653.31,9951.20167,10231.14833,10295.81167,10340.46,10383.23833,10501.04167,10552.71167,10597.25833,10582.615,10591.74667,10533.94333,10444.075,10384.495,10300.12,10255.32167,10194.34833,10050.88333,10042.175,9902.89,9666.03,9514.64667,9297.065,9202.34333,9202.5,9116.565,8865.125,8656.65333,8667.76667,8458.53833,8399.325,7962.34,7742.35833
2006-01-25,7791.55167,7621.57,7380.14,7005.255,6728.16833,6438.65167,6430.25,6404.41167,6423.94667,6606.15,6901.67833,7473.285,7987.91333,8392.915,8798.31667,9083.225,9334.43833,9584.55667,9703.74,9764.775,9843.71333,9874.99333,9902.47667,9814.07833,9808.92667,9888.50167,9850.79833,9823.25167,9789.83167,9751.40833,9707.70667,9701.41333,9715.59833,9594.325,9529.55833,9227.13,9120.39333,8929.17,8816.93833,8836.11833,8893.23667,8688.91167,8460.125,8522.10167,8434.08167,8434.88833,8224.305,8038.39333
2006-01-26,7803.09833,7569.54833,7278.43833,6955.13,6626.18333,6384.535,6264.735,6215.56,6216.395,6289.83667,6352.275,6519.045,6619.86,6840.94167,7120.93667,7494.76667,7780.35333,8218.74333,8415.94667,8643.57833,8722.675,8837.99,8922.32667,9019.07167,9057.30167,9077.63333,9083.56833,9089.63667,9128.62833,9229.14667,9240.80167,9337.64833,9373.83833,9393.01667,9404.525,9370.14,9223.39167,9099.10667,8965.51667,9043.745,9187.41167,9014.76,8759.31667,8675.53667,8570.94167,8498.025,8302.41333,8034.015
2006-01-27,7829.22667,7578.51667,7347.725,7006.82833,6767.54667,6523.86,6471.68333,6412.55167,6501.76667,6702.475,6908.18,7401.49667,7812.85,8283.66,8720.335,9153.76,9513.51167,9965.62667,10117.30667,10344.185,10554.395,10722.34,10896.78,11060.035,11251.98333,11426.865,11551.28833,11740.89167,11832.90833,11929.07,11938.23667,11929.66,11952.9,11682.29333,11447.89833,10982.82667,10704.68,10283.84167,10126.76833,9979.705,10042.985,9762.29833,9476.06,9390.94833,9117.63333,9029.37333,8698.83667,8392.04167
2006-01-28,8105.82667,7759.08167,7527.23667,7104.505,6772.16167,6523.75333,6431.21167,6389.71833,6393.20167,6434.485,6563.78833,6659.72833,6849.92,7146.03667,7583.50333,8008.94833,8456.38167,8942.80167,9184.86,9406.64333,9476.24833,9590.82833,9683.62333,9775.365,9805.57667,9879.73,9891.71333,9891.645,9891.05833,9911.625,9995.32,9993.23667,10059.30333,9912.25167,9814.05667,9650.67,9459.09167,9277.985,9005.89167,9004.97833,9114.25833,8940.93833,8689.87167,8595.95667,8449.49833,8321.21,7974.495,7818.175
2006-01-29,7531.78,7292.56,7016.375,6777.47833,6464.50667,6372.13667,6277.74,6198.63167,6177.64,6238.04333,6279.37,6294.48333,6371.50833,6593.17833,6939.23833,7354.79333,7689.12167,8090.19333,8335.55667,8484.49,8701.88667,8918.58,8987.78167,9099.97667,9130.62833,9216.95833,9295.50667,9371.34833,9513.49,9573.01167,9712.96667,9774.58167,9810.245,9769.08333,9737.62333,9698.555,9578.775,9471.205,9208.81,9206.37333,9334.66833,9187.995,8899.18333,8768.775,8479.13667,8305.12167,7937.42667,7626.51667
2006-01-30,7440.44833,7244.70333,7064.585,6752.85333,6605.43,6475.77667,6403.69833,6408.84667,6502.76667,6676.12333,7028.31333,7557.03167,8080.16667,8527.58167,9046.48167,9526.08,9876.18167,10285.67,10497.26,10763.43833,10887.02333,11029.29833,11139.00667,11279.65667,11334.20167,11490.76167,11663.835,11733.33,11896.58833,11989.68833,11973.03833,12089.20833,12201.74667,12067.03,11977.43833,11670.12333,11463.16833,11074.55833,10724.34167,10668.64667,10680.99833,10270.19333,9828.225,9629.52167,9306.435,9048.85333,8750.89833,8479.735
2006-01-31,8200.80667,7919.61333,7670.17667,7255.44833,6964.16333,6757.84667,6629.31667,6623.505,6675.36833,6847.335,7121.535,7693.31,8223.53167,8644.05167,9119.44167,9395.62,9551.61833,9765.06667,9917.72167,10060.31333,10188.995,10220.535,10257.33,10281.31167,10295.105,10370.11167,10404.82,10402.81833,10399.69,10371.77167,10354.165,10401.34833,10416.80167,10385.88333,10261.72,9996.12333,9894.46333,9685.04667,9565.26667,9575.97833,9606.27167,9312.775,8988.26,8978.11333,8789.52333,8641.75167,8385.86,8236.465
2006-02-01,8049.77167,7781.66667,7444.06333,7145.12333,6817.55667,6638.77333,6565.96167,6538.89,6609.41667,6781.35333,7109.62667,7727.92167,8351.075,8840.76,9306.72167,9661.02333,10021.32667,10407.075,10756.66333,10939.67333,11103.43,11230.06333,11408.35167,11503.99,11663.47333,11852.35,12064.47167,12291.585,12445.94333,12606.965,12814.94167,13067.035,13096.06833,13188.475,13070.62167,12684.77,12489.545,12154.42667,11898.535,11821.895,11816.75167,11397.84333,10892.16833,10649.29333,10122.98833,9781.76167,9372.50667,9002.46
2006-02-02,8752.36667,8401.04167,8052.1,7710.36333,7345.49,7172.57167,7070.78667,7015.59333,7027.755,7246.56833,7675.83667,8328.82,8931.07333,9464.175,10073.32333,10459.72167,10772.805,11217.92667,11494.85833,11808.55833,12016.44,12258.48167,12463.45167,12581.56167,12786.755,12968.92333,13090.28,13115.84333,13109.71333,13096.335,13141.22333,13084.02833,13000.73667,12785.64333,12580.62833,12231.335,11960.22667,11566.085,11362.065,11162.12667,11050.53333,10552.53167,10079.165,9837.99,9516.13,9214.45333,8835.76333,8567.625
2006-02-03,8311.595,7992.435,7748.93833,7399.245,7090.38167,6924.645,6825.06667,6776.12167,6871.99667,7101.20333,7428.05167,8009.37667,8582.66,9018.35,9475.77167,9730.02833,9950.95333,10165.37333,10318.71333,10378.54667,10420.99667,10457.87667,10521.75833,10459.09667,10547.51833,10580.075,10674.605,10715.71,10789.89667,10731.50167,10788.42833,10777.67667,10742.45,10593.32,10390.2,10057.195,9940.78167,9694.85333,9620.28333,9614.08333,9631.34833,9279.84667,9001.14333,9055.18833,8802.965,8729.29,8471.47,8254.735
2006-02-04,7944.60333,7714.52,7391.425,7038.31167,6748.85,6492.92333,6409.43833,6375.95333,6373.19833,6459.73333,6576.19,6770.46167,6947.52333,7209.535,7656.2,7998.605,8416.88667,8790.57667,8911.00667,9027.94,9003.85,8997.585,8955.31333,8860.745,8774.16,8712.54833,8598.40667,8618.82833,8529.64167,8516.15333,8481.145,8539.17833,8593.33833,8498.04667,8525.33667,8527.06167,8521.67833,8414.955,8348.76167,8373.78333,8411.40667,8198.52833,7999.64,8032.86,7892.88167,7821.42667,7657.55167,7456.14333
2006-02-05,7239.34,6990.29333,6873.06333,6534.63667,6314.625,6131.15833,6058.98667,6038.35833,5986.47,6061.855,6118.05,6156.69167,6240.20833,6441.46833,6757.27167,7151.795,7482.1,7751.11,8032.44667,8207.99333,8307.15167,8432.50167,8433.72,8448.01333,8487.65333,8549.85167,8516.525,8533.07167,8556.09333,8615.125,8675.90667,8673.28167,8741.51667,8738.615,8744.07167,8780.56,8732.83167,8641.795,8568.76167,8667.63333,8819.89167,8633.95333,8333.98333,8168.73667,8001.25167,7782.91333,7616.02333,7330.72667
2006-02-06,7239.57667,7055.50667,6912.17333,6622.00833,6424.85833,6301.83667,6245.71333,6268.84,6350.26833,6606.85833,6962.475,7558.51667,8156.67,8567.04333,9060.965,9443.03333,9775.25333,10107.19,10375.16167,10554.535,10737.63833,10818.89667,11001.59833,11101.555,11253.06333,11487.46333,11721.135,11864.38333,11977.095,12092.765,12359.46167,12490.54833,12635.96667,12570.11,12471.46167,12173.11167,11972.18167,11595.44333,11298.925,11257.56,11300.77167,10796.26333,10304.13,9988.11833,9436.14667,9046.58333,8707.56167,8298.23167
2006-02-07,8050.875,7840.04167,7631.18333,7230.24,6930.66167,6729.91333,6632.98167,6571.27167,6643.64167,6850.49667,7086.18667,7762.89167,8258.07833,8673.14667,9048.30667,9245.77167,9374.98833,9520.47833,9625.91333,9606.13167,9633.93,9570.975,9559.90333,9560.04667,9525.61167,9593.05167,9582.73667,9584.56,9564.405,9520.89667,9539.79,9452.97333,9547.085,9486.20667,9376.485,9090.99167,8907.16167,8644.03167,8554.39667,8688.04833,8710.87833,8534.29833,8207.39,8256.05167,8056.58333,8053.55167,7884.99333,7765.16667
2006-02-08,7553.62333,7421.74833,7201.75167,6878.11167,6521.375,6309.55833,6214.62,6219.13,6268.59833,6462.95667,6773.38,7405.86,7967.97167,8330.17,8699.53667,8913.18833,9053.74667,9303.92167,9474.705,9595.19333,9671.325,9687.67,9734.71167,9705.24167,9748.47333,9829.52667,9890.345,9937.29333,9977.125,10047.895,10108.655,10185.62167,10188.01833,10110.775,9993.80167,9709.66333,9527.31,9180.68667,9042.28333,9171.70833,9199.44333,8858.59,8548.945,8544.46,8349.88167,8326.61333,8102.415,7975.91167
2006-02-09,7774.99833,7562.98333,7325.755,6975.39167,6638.43833,6473.15,6350.96,6341.28833,6406.01833,6621.23833,6940.99333,7597.91667,8158.45833,8567.49167,9014.74667,9263.34833,9484.645,9812.35833,10024.86333,10179.95667,10341.16833,10451.18833,10623.72,10752.11833,10837.1,11007.96,11119.465,11289.685,11475.25667,11592.59,11760.175,11826.89,11861.34167,11742.20833,11596.52833,11193.265,11131.23833,10866.65,10726.40833,10721.47667,10722.54667,10212.85333,9762.53,9469.90333,9002.20833,8758.375,8392.26667,8157.95
2006-02-10,7979.35,7693.29,7475.95333,7087.24,6801.72667,6638.30833,6573.08667,6508.96333,6557.67833,6780.94333,7039.92833,7652.50667,8195.495,8544.145,8949.13833,9189.25667,9353.32333,9653.40667,9779.71333,9848.24,9803.685,9911.16833,9884.75,9824.31833,9874.05833,9873.75667,9795.38333,9889.55667,9888.40833,9825.80333,9802.33,9830.50833,9777.72333,9599.02333,9409.40333,9067.06667,8873.68833,8553.44833,8642.675,8726.73,8701.58667,8426.92833,8196.97667,8257.11833,8206.74167,8199.74667,8033.47167,7903.05167
2006-02-11,7651.11667,7438.83833,7214.88667,6838.75833,6477.79,6335.57,6151.945,6124.15667,6109.835,6230.76167,6305.73167,6528.25167,6602.25,6899.59167,7333.84833,7756.79333,8074.94333,8497.81667,8554.34833,8706.08167,8691.12667,8687.6,8689.04333,8590.875,8618.49333,8561.20333,8556.835,8541.78667,8571.75833,8583.64167,8646.16833,8685.11667,8727.165,8634.51333,8634.18833,8581.315,8489.71667,8339.90833,8194.13167,8360.685,8385.79167,8246.39,8075.28667,8125.25167,7982.55,7948.21833,7746.53333,7522.755
2006-02-12,7290.61667,7086.87667,6889.46,6618.175,6320.39167,6206.90333,6147.06667,6059.12333,6066.41333,6101.16167,6153.47167,6264.92833,6372.29667,6552.92333,6896.01833,7341.55167,7683.54333,8000.28833,8175.50833,8426.55333,8576.25,8758.42,8825.21667,8935.43,9036.55333,9165.19333,9197.06167,9354.64333,9436.69,9572.55667,9733.61,9778.92167,9864.285,9840.22333,9872.81667,9877.375,9773.8,9613.87667,9533.84833,9656.29167,9694.98167,9422.445,9056.33167,8837.92333,8470.46833,8258.78333,7906.86167,7697.29167
2006-02-13,7382.05,7195.28,7066.32,6801.68167,6526.73833,6460.89167,6401.91667,6400.24667,6493.85667,6743.69333,7042.66833,7707.34333,8198.095,8650.45,8967.41833,9430.23333,9662.53667,10074.18167,10273.86333,10543.2,10606.93167,10690.97833,10834.46667,10829.075,10890.57167,11008.895,11033.68833,11087.78833,11089.03167,11093.09833,11140.90333,11159.94167,11077.08167,10835.46,10588.46167,10210.20167,9895.55833,9550.78,9482.53333,9595.655,9395.51167,9128.51833,8736.15,8703.275,8451.69333,8374.80833,8167.40667,7982.28833
2006-02-14,7767.12333,7574.965,7355.68333,6949.37667,6757.95667,6566.29167,6432.2,6409.8,6527.515,6746.455,7046.43667,7766.87833,8322.68333,8758.13333,9199.25833,9401.305,9554.67833,9776.8,9886.46667,9925.115,9989.58833,9948.6,9984.93167,9945.24333,9944.94,9935.12667,9945.98167,9953.715,9992.69667,9957.32,9998.13333,9984.26167,10036.055,9877.12667,9821.04167,9566.33,9466.98667,9221.67167,9171.87667,9233.35,9209.45167,8920.28833,8686.59333,8612.905,8424.35333,8391.51667,8170.85667,8061.68667
2006-02-15,7829.60667,7594.14333,7409.895,7060.53667,6706.72833,6569.40833,6409.96333,6445.855,6444.395,6709.91167,7043.79,7680.15333,8270.07167,8706.70167,9143.585,9427.095,9575.82167,9868.64667,10014.385,10154.72333,10231.49833,10235.84833,10298.29167,10302.495,10318.21167,10365.81833,10403.705,10461.125,10448.62333,10434.825,10485.33833,10509.415,10490.11333,10296.53167,10148.385,9841.25333,9670.77667,9461.24,9449.27,9480.11333,9278.88,8926.98667,8686.30833,8659.48167,8453.24,8331.51333,8087.235,7944.24
2006-02-16,7787.36167,7546.11667,7305.1,6990.625,6696.34667,6507.41833,6342.66667,6401.25167,6439.34833,6697.02667,6993.37333,7707.51667,8349.25167,8828.845,9254.25,9496.435,9635.45833,9925.08833,10109.62333,10205.36333,10242.37,10326.39,10396.045,10464.10333,10422.96,10558.75167,10629.66167,10755.79167,10765.61,10763.47,10733.215,10680.435,10638.36,10447.98167,10333.065,10071.85833,9889.935,9547.105,9460.21667,9567.53667,9443.99833,8956.87667,8651.84167,8663.12167,8455.84333,8356.71,8179.47167,7982.52833
2006-02-17,7815.49833,7550.27667,7322.15167,6985.09833,6654.40333,6471.52167,6317.62,6365.82667,6450.02167,6662.20167,7011.77833,7630.28833,8211.87833,8615.35,9061.93,9339.535,9597.74333,9957.76833,10225.95833,10453.68833,10617.27,10803.67333,10975.73667,11056.58167,11183.53333,11373.875,11548.93167,11632.28667,11717.85333,11736.17833,11885.21167,12018.84667,12023.47833,11877.035,11621.69,11236.605,10947.20167,10577.30167,10323.19833,10366.40833,10260.66,9884.555,9487.92,9375.31,9111.10833,9006.09667,8726.25667,8422.75667
2006-02-18,8107.26333,7810.86667,7491.68,7151.14333,6847.98333,6593.96,6473.90667,6424.08167,6434.71667,6495.88333,6553.84167,6817.435,6895.195,7231.57333,7623.635,8148.25667,8572.02,9042.71167,9297.62333,9577.29333,9668.16167,9941.185,10165.23333,10328.01833,10541.26,10681.86833,10853.68167,10996.005,11077.65,11133.81333,11206.385,11150.91667,11044.955,10742.72667,10623.525,10419.76333,10215.84167,9909.475,9810.27,9706.74167,9585.055,9316.09333,8957.79667,8876.055,8629.06667,8498.59167,8172.10833,7840.57167
2006-02-19,7614.44167,7370.895,7152.98833,6817.93,6565.11,6422.81667,6353.12333,6277.08167,6308.43333,6372.54833,6359.165,6496.47,6519.24,6687.83167,7023.9,7453.40167,7811.385,8206.27,8588.88333,8931.605,9146.34,9357.17833,9575.38167,9794.01833,9972.47167,10109.99667,10234.59167,10298.46,10455.53833,10468.43333,10594.38333,10584.435,10573.94167,10447.30833,10391.05167,10288.50167,10076.93667,9901.24667,9912.88,9965.595,9930.565,9548.62667,9206.15833,8959.43167,8558.41167,8320.72,7936.01833,7702.33667
2006-02-20,7473.065,7351.16833,7167.35833,6870.54167,6699.415,6571.56667,6534.185,6555.115,6649.75667,6884.11,7245.465,7867.15833,8407.175,8979.90667,9531.54,9807.73333,9929.42667,10240.49167,10397.51167,10472.405,10543.23833,10580.26333,10585.795,10609.04333,10564.50667,10545.94833,10547.73833,10683.26833,10578.915,10480.14,10480.09667,10562.65167,10530.02667,10442.13,10333.96333,10042.58167,9887.16333,9694.90167,9536.50167,9551.54667,9414.38333,9114.325,8747.95333,8667.51167,8510.25667,8425.95167,8210.94,8014.12833
