date,load1,load2,load3,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13,load14,load15,load16,load17,load18,load19,load20,load21,load22,load23,load24,temp1,temp2,temp3
2015-08-22,77030,72496,69318,67187,66154,66311,67322,68427,71491,76594,81563,85530,88886,91552,93569,94755,95601,95718,94883,92316,90212,89726,85782,80381,74.1,70.0,73.8
2015-08-23,75233,71120,67978,66182,65026,64661,65131,65765,68585,73673,78685,82630,86030,88881,91413,93239,94646,95675,95854,94002,92133,91564,86885,80543,67.4,65.3,66.7
2015-08-24,74962,70998,68378,66896,66454,67999,72388,77111,80528,84154,87726,90908,93247,95415,97318,98479,99131,99216,98220,96158,94609,93839,88352,81449,65.4,60.5,64.0
2015-08-25,75633,71648,69001,67315,66844,68280,72658,77224,79596,82377,84918,87312,89077,90797,92321,93061,93708,93983,93375,91833,90618,90154,85180,78399,64.2,62.20000000000001,68.3
2015-08-26,72723,68970,66654,64999,64686,66098,70571,75604,78321,81135,83746,86562,88797,90672,92855,94129,95295,95944,95411,93729,92097,91815,86728,79520,65.5,62.20000000000001,68.0
2015-08-27,73763,69683,67374,65713,65162,66618,71028,75873,78651,81541,84459,87447,89583,92128,94459,95969,96695,97191,96224,94156,92955,92898,87900,81035,68.8,61.1,69.2
2015-08-28,74989,70627,68039,66317,65976,67133,71537,76126,79347,82467,85708,89116,92168,94615,97029,98634,99355,98830,97450,94549,92664,91500,87148,81545,70.8,68.7,71.9
2015-08-29,76023,71781,68886,66949,65830,65816,67187,68652,70993,75596,80441,84331,87403,89818,91562,92926,93731,94264,93978,92232,91128,90306,86472,81117,71.0,72.4,76.5
2015-08-30,76028,71726,68620,66619,65454,65027,65632,66395,68986,74031,79094,83932,88382,92511,95949,98365,100302,101928,102175,100470,99068,97993,92449,85382,74.8,70.4,75.8
2015-08-31,79071,74573,71691,69691,69218,71059,76264,81863,85749,89906,94965,100288,105256,109954,113751,116166,117400,117681,116380,113560,111467,109520,102581,93830,80.8,74.4,77.1
